date,unit_value_usd,country
2022-08-16,1.59,NEPAL
2022-08-17,1.13,BAHRAIN
2022-08-17,1.13,BAHRAIN
2022-08-17,1.13,BAHRAIN
2022-08-17,1.13,BAHRAIN
2022-08-19,1059.47,QATAR
2022-08-21,0.98,SRI LANKA
2022-08-26,2.38,NEPAL
2022-08-26,2.38,NEPAL
2022-08-26,1062.52,"IRAN, ISLAMIC REPUBLIC OF"
2022-08-26,1041.03,"IRAN, ISLAMIC REPUBLIC OF"
2022-08-29,1.02,SRI LANKA
2022-08-29,1064.51,"IRAN, ISLAMIC REPUBLIC OF"
2022-08-01,77.34,"KOREA, REPUBLIC OF"
2022-08-01,75.76,"KOREA, REPUBLIC OF"
2022-08-01,75.76,"KOREA, REPUBLIC OF"
2022-08-08,0.00,"IRAN, ISLAMIC REPUBLIC OF"
2022-08-08,0.00,TURKEY
2022-08-08,1011.84,UNITED ARAB EMIRATES
2022-08-08,1011.84,UNITED ARAB EMIRATES
2022-08-29,126.90,UNITED ARAB EMIRATES
2022-12-01,3.92,BANGLADESH
2022-12-01,3.92,BANGLADESH
2022-12-06,2.30,TURKEY
2022-12-07,0.00,BHUTAN
2022-12-08,0.00,FRANCE
2022-12-08,7.68,NEPAL
2022-12-08,2.24,NEPAL
2022-12-09,7.68,NEPAL
2022-12-09,2.24,NEPAL
2022-12-12,3.11,BHUTAN
2022-12-13,919.80,DOMINICAN REPUBLIC
2022-12-13,1030.29,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
2022-12-13,39.85,RUSSIAN FEDERATION
2022-12-14,3.11,ANGOLA
2022-12-14,919.80,DOMINICAN REPUBLIC
2022-12-19,2.38,"TAIWAN, PROVINCE OF CHINA"
2022-12-19,17.98,GERMANY
2022-12-20,2.44,NEPAL
2022-12-23,6.36,NEPAL
2022-12-23,6.36,NEPAL
2022-12-22,0.00,"TANZANIA, UNITED REPUBLIC OF"
2022-12-26,12.22,AUSTRALIA
2022-12-26,33.01,UNITED ARAB EMIRATES
2022-12-27,0.68,ITALY
2022-12-27,0.68,ITALY
2022-12-27,0.68,ITALY
2022-12-27,0.68,ITALY
2022-12-27,0.68,ITALY
2022-12-27,0.68,ITALY
2022-12-30,0.00,SRI LANKA
2022-12-09,1109.69,MEXICO
2022-12-09,1109.69,MEXICO
2022-12-09,1.76,QATAR
2021-10-06,7286.40,SPAIN
2021-10-07,15066.00,UNITED ARAB EMIRATES
2021-10-07,68000.00,NEPAL
2021-10-07,11700.00,TUNISIA
2021-10-11,24864.00,KENYA
2021-10-13,8691200.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-10-12,2048000.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-10-16,7200.00,GERMANY
2021-10-18,38400.00,NEPAL
2021-10-19,39166.08,NEPAL
2021-10-19,42429.92,NEPAL
2021-10-19,32000.00,NEPAL
2021-10-20,8691200.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-10-23,15168.00,QATAR
2021-10-25,188.00,TURKEY
2021-10-28,8640.00,UNITED STATES
2021-10-29,400.00,BANGLADESH
2021-10-30,454.50,COTE D`IVOIRE
2021-10-18,7449600.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-10-25,188.00,TURKEY
2021-09-12,54000.00,NEPAL
2021-09-12,28500.00,NEPAL
2021-09-14,32000.00,NEPAL
2021-09-15,8458400.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-09-15,35.00,BHUTAN
2021-09-15,35.00,BHUTAN
2021-09-16,4000.00,MALAYSIA
2021-09-23,10.00,MALDIVES
2021-09-23,143.00,KENYA
2021-09-07,8691200.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-09-06,47.50,EGYPT
2021-09-03,13.61,MAURITIUS
2021-09-09,31334.40,KENYA
2021-09-14,8442880.00,"IRAN, ISLAMIC REPUBLIC OF"
2021-09-10,35.00,BHUTAN
2021-09-17,4.00,ISRAEL
2021-09-17,0.00,"PALESTINE, STATE OF"
2021-09-17,13020.00,BHUTAN
2021-09-17,8640.00,UNITED STATES
2021-09-16,6.58,RWANDA
2021-09-16,2.57,RWANDA
2021-09-16,51.40,RWANDA
2021-09-16,10.28,RWANDA
2021-09-04,384.48,IRAQ
2021-09-04,384.48,IRAQ
2021-09-07,187337.50,UNITED ARAB EMIRATES
2021-09-09,26868.00,CANADA
